,Username,Konten,Lokasi
0,__SudutPandang,@rama20hamna @dickysetyawanzz @arifin34533 @ridwankamil @prabowo Segala sesuatu mungkin saja terjadi 🤗,DKI Jakarta 
1,__SudutPandang,"@rama20hamna @arifin34533 @ridwankamil @prabowo Iya, informasi kayaknya memang lebih banyak dan lebih cepat di twitter 😄",DKI Jakarta 
2,hendraagueezer2,@PrasieOet @DayatPondok @vie4nne Sby akmil 73...syafri dan prabowo 74,
3,MegaSimarmata,"Video 2/2 :

""Semangat Adinda Sinta, doa dan kasih sayang akan selalu menyertai Adinda Sinta. Semoga lekas sembuh dan dapat kembali beraktivitas""

Kapolri
Jenderal Polisi Listyo Sigit Prabowo

(Video saat Kapolri membesuk Sinta Aulia di Rumah Sakit Polri, Minggu 20 Februari 2022) https://t.co/unjARMezzv","Jakarta, INDONESIA"
4,idazweek,"@egik_prabowo @__Sridiana_3va Klo penganiayaan dan terorisme ditanggung LPSK, kalau penyalahgunaan obat ada skema khusus dari kemenkes. Tp klo bentuknya menyakiti diri yah g ditanggung",Indonesia
5,Radenalite,"Sesuai banget, dibutuhkan cara untuk memodernisasi pengadaan alutsista yang terarah, dan berjalan konsisten untuk pertahanan NKRI.

@prabowo @Kemhan_RI
Misi Kerja Prabowo Subianto
Modernisasi Alutsista Usang
Bangun Indonesia Tangguh","Kota Surabaya, Jawa Timur"
6,pejuangnkri77,@CNNIndonesia enak Prabowo dong langsung jadi Presiden,
7,agama_nusantara,"Tweeps, Jumat 04/2022, Komnas Perempuan bertemu dengan Kapolri Drs. Listyo Sigit Prabowo https://t.co/gMtDLWWeY8 &amp; jajarannya.

Pertemuan ini untuk membahas Pelembagaan Kerjasama Komnas Perempuan &amp; Kepolisian RI Untuk Penghapusan Segala Bentuk Kekerasan terhadap Perempuan (KtP). https://t.co/znLgvg5Mdl",Indonesia Tanah Air Ku 
8,fragfolks,"Hadehhh ni China ikut ikutan ribut aje. Jangan dululah, Rafale pesenan pak Prabowo belum dateng.",
9,mdfirdaus5982,"Selamat Pagi. GERINDRA MENANG. PRABOWO PRESIDEN.

#PoskoIndonesia24
#PR36IlirPalembang",Rumah 36
10,banpolpecatan5,"@GusNadjb @4riq4lfatih klo doa sy terkabul Gus, yaitu P Dhe Jokowi kepilih lg jadi presiden dan bukan Prabowo, dan mudah2an para kontestan bersatu, ehhh betul kan akhirnya, Prabowo dg Sandi Uno jd menterinya P Dhe 🙏","Soreang, Indonesia"
11,fahmikemex,"@mohmahfudmd Ini klo jd menko, KLO PAS MAU JD WAPRES GA JADI.,,, Trus belum punya jabatan , omongannya ya lain… apalagi pas jd ketua timses Prabowo… lain lagi…. omongan berdasar SITUASI KONDISI",
12,aqua_gak,"@Badjrie1 @Pimperoo @SBYudhoyono Baik SBY, Prabowo &amp; LBP itu adl orang-orang yg menonjol saat pendidikan....
Info nya sih..
😁",
13,NkriPost99,"Kapolri Jenderal Listyo Sigit Prabowo Jenguk Bocah Penderita Tumor, Ini Kesan Sinta……… https://t.co/e4UX1OEhVC","DKI Jakarta, Indonesia"
14,_SEKNAS_RI,"Kemungkinan besar paslon @aniesbaswedan @ridwankamil diusung @PKSejahtera @NasDem @PartaiGolkar @Official_PAN @DPP_PPP 

Sara koalisi partai ini melewati PT 20%

Contender serius bagi @ganjarpranowo @puanmaharani_ri @PDI_Perjuangan dan @prabowo @AgusYudhoyono @Gerindra @PDemokrat","Pearland, TX"
15,mohamad82420148,@CNNIndonesia Kasih tau P. Prabowo... Suruh bisikin p. Jokowi. Sohib kan ?,
16,prabowosandiag6,"masyarakat pendukung prabowo sandiaga, kirim berita terbaik dan sumber jelas ke https://t.co/Z6X6qSHgfx untuk di posting di https://t.co/ydAolG8zNd",Jakarta Capital Region
17,UchihaSasuke_RA,"Yg paling Cocok Jadi Presiden Itu prabowo, Ya?
Jokowi Jadi Apa dong? ~
jenderal08 presiden2014com",Indonesia
18,Kongs95406666,@kbnpapua_ @prabowo @Kemhan_RI Buat jaga nkri dr cina...  Mantabs,
19,raden_tumaritis,"“Kita semua akan mati, jangan takut mati karena itu ciri khas kita paket hemat. Yang penting hidup kita harus penuh arti. Kita semakin menahan diri, jangan pernah emosional,” Kata Prabowo.",Indonesia
20,raden_tumaritis,"“Kita percaya kebenaran selalu menang. Itu ajaran semua agama di dunia. kebenaran selalu menang, jangan ragu. Kita berada di atas jalan yang benar,” kata Prabowo.",Indonesia
21,Julenyabanyak,Prabowo catlovers :) https://t.co/AkWMAAt2dC,
22,your_ex_killer,"@convomf Tapi ya ttp kerja
Kenapa? 
""Karena tidak punya uang!"" - Prabowo, Menteri Pertahanan RI","Bogor, Jawa Barat"
23,Dorraemon_,"@geloraco Mantap banget Bapak Prabowo Subianto Djojohadikusumo dan teruslah berkarya dan berjuang untuk keselamatan Rakyat, bangsa dan negara tercinta Indonesia Raya

Bravo Pak Prabowo ✊",Indonesia
24,raden_tumaritis,"“Saat kau di atas ingatlah yang di bawah. Karena nanti kau ke bawah mereka akan menyapa kalian. Kalau di atas jahat, mereka tak akan lupa,” Kata Prabowo.",Indonesia
25,Red13Maxi,"@torotrapah @CNNIndonesia @prabowo Wah jangan ditag, kasihan nanti dilempar asbak🤭🤭",
26,Plan_C812,@nft_droplets @PraditZhuo @prabowo @Neuro_Skeptic @TehminaKaoosji @YingjueChen @ljin18,
27,y6zbe,@galaxgyta @prabowo JGAN CEPU😾,
28,iniakuncaaa,@gerindrajatim_ @Gerindra @prabowo @ansadad @KementerianLHK lagi isoman gini enaknya dikasi coklat gasi min?,Dibawah langit
29,hampir_malam,@budivespahitam @iwanfals Pasti yg kalah pilpres ditambah lagi  kecewa karena prabowo sandi jadi mentri jokowi 🤣 🤑,
30,pengamatpoli3k,Prabowo tidak akan jd presiden jika anda menjijikan.,Tamansari bukan dr gurunpasir
31,RUKYAT1988,"@cryptoboosterx Nice...perfect project...

@jokowi 
@prabowo 
@sandiuno","Cirebon,west Java, Indonesia"
32,Deteksijambi,"Tak Kunjung P21, Dugaan Korupsi Puskesmas Bungku Hadi Prabowo Siap Diperiksa Kejari Batang Hari Terkait Laporan Dugaan Korupsi Dinas Perkim https://t.co/ur805m7P69 lewat @wpvkp","Jambi, Indonesia"
33,TrimisTrimis1,Respons Mantap Pak Jenderal Pol.Drs.Listyo Sigit Prabowo.Lanjutkan Perjuangan masih Panjang.,"Jatinegara, Indonesia"
34,QuotedReplies,"@23_prabowo
https://t.co/mVAqCNieUr","Lagos, Nigeria"
35,QuotedReplies,"@23_prabowo
https://t.co/mVAqCNieUr","Lagos, Nigeria"
36,demokrasicoid,"Viral, Pidato Lawas Prabowo: Rakyat Tak Boleh Bela Antek Asing https://t.co/y8UUKDhUeg",Indonesia
37,rama20hamna,@__SudutPandang @dickysetyawanzz @arifin34533 @ridwankamil Mungkin saja.tidak ada yang tidak mungkin kalau pak @prabowo ingin pak @ridwankamil kembali,"Tanggamus, Lampung"
38,23_prabowo,"Yang suka quote tweet ghaib, mending keluar bang",Jakarta Capital Region
39,KPTErestabessmg,"*Dijenguk Kapolri, Begini Kesan Sinta Bocah Penderita Tumor Tentang Jenderal Listyo Sigit Prabowo*

SEMARANG - Sinta Aulia Maulidiyah (10), bocah penderita tumor kaki yang saat ini menjalani perawatan intensif di RS Polri Kramat Jati Jakarta Timur, https://t.co/qGooHcNZqC",
40,shuaranghaoo,@noppcy_ @starfess sandi prabowo sandi,she/her
41,holopiskuntulbr,"Bye24👋
Tp kalao lawannya prabowo, ogah juga milihnya.",di setiap neuron otak kamu
42,prabowo_rio,"Sluruh badan emang sakit tapi hati yg paling sakit...yuhuuuu..

#COVIDIOTS https://t.co/YmNPx2WSEL","Kota Pangkal Pinang, Bangka"
43,terkinidotid,"Viral, Pidato Lawas Prabowo: Rakyat Tak Boleh Bela Antek Asing: Sebuah video lawas yang memperlihatkan Ketua Umum Partai Gerindra Prabowo Subianto tengah pidato dan meminta rakyat Indonesia agar tidak membela antek asing,… https://t.co/zy1jCodepw #News #pidatoprabowo #prabowo","Makassar, Indonesia"
44,AniBunny14,"@dyahNeZza Waktu datang ke kampanye prabowo di lapangan Banteng

Sumpah gw nyesel 😑","DKI Jakarta, Indonesia"
45,aryopramudito2,@KincaidZerga @asiasuuu @E_Edw_R @erstevn @Pimperoo @prabowo,Indonesia
46,PrasieOet,@DayatPondok @vie4nne Betul satu angkatan dgn Prabowo dan Sby.,
47,PDI_Perjuangan,"MPP digagas serta dirancang sepenuhnya oleh Mas Prananda Prabowo, mengacu pada karakter PDI Perjuangan sebagai Partai ideologis dengan ciri khas utama Partai pelopor yang mengorganisasi rakyat.",Indonesia
48,nyoemhokgie,Pak Prabowo?,
49,fmaulana179,"@kbnpapua_ @prabowo @Kemhan_RI Negara lagi pandemi corona, ini malah cari orderan!!! Eh lupa  pemilu bentar lagi ya","Jakarta Selatan, DKI Jakarta"
50,23_prabowo,"@itbfess gas, lagi menglaprak",Jakarta Capital Region
51,setiadjit,@arifin34533 Duet Prabowo - Airlangga agaknya bakal maju;  Sesama binaan Golkar;,Jababeka Bekasi 17530  ID
52,__SudutPandang,"@rama20hamna @arifin34533 @ridwankamil @prabowo Oh, gitu ya?🤔

Apa serunya di twitter menurut Anda?🤔",DKI Jakarta 
